Error_Model,Strength,Process_Infidelity,Gate,F_CB,F_SCG,Gauge_Fidelity,F_CB_hat
Gate_Independent,1,6.251928297185128e-05,Gate.cx,0.9889695661830591,0.9889695661830591,1.0,0.988958917608086
Gate_Independent,1,6.251928297185128e-05,Gate.t,0.9949378295727634,0.9949378295727629,1.0000000000000002,0.9949891634120227
Gate_Independent,1,6.251928297185128e-05,Gate.h,0.9985841593290115,0.9985841593290105,0.9999999999999999,0.9985832007006831
Gate_Independent,1,6.251928297185128e-05,Gate.id,0.9999374807170281,0.9999374807170274,1.0,0.9999355622650532
Gate_Independent,2,0.0002500614972442694,Gate.cx,0.9876926613181248,0.9876926613181246,0.9999999999999998,0.9876438075302746
Gate_Independent,2,0.0002500614972442694,Gate.t,0.9947512250627619,0.9947512250627609,1.0,0.9947912474481075
Gate_Independent,2,0.0002500614972442694,Gate.h,0.9980435675083968,0.998043567508396,1.0,0.9980394235599572
Gate_Independent,2,0.0002500614972442694,Gate.id,0.9997499385027556,0.9997499385027548,1.0,0.9997503306743981
Gate_Independent,3,0.0005625797427984969,Gate.cx,0.9861700465422484,0.9861700465422486,1.0,0.9861994086368323
Gate_Independent,3,0.0005625797427984969,Gate.t,0.9944402693971027,0.9944402693971024,1.0000000000000002,0.9944148253508139
Gate_Independent,3,0.0005625797427984969,Gate.h,0.9973783638618405,0.9973783638618393,0.9999999999999998,0.9973664187799388
Gate_Independent,3,0.0005625797427984969,Gate.id,0.9994374202572013,0.9994374202572005,1.0,0.9994377888854521
Gate_Independent,4,0.0009999958659678843,Gate.cx,0.9844026728471289,0.9844026728471286,0.9999999999999998,0.9846504687967444
Gate_Independent,4,0.0009999958659678843,Gate.t,0.9940050403386875,0.9940050403386862,0.9999999999999996,0.9939615788726066
Gate_Independent,4,0.0009999958659678843,Gate.h,0.996588714741562,0.9965887147415615,1.0000000000000002,0.9965732237311336
Gate_Independent,4,0.0009999958659678843,Gate.id,0.9990000041340319,0.9990000041340311,1.0,0.998995311730166
Gate_Dependent,1,6.250479676050968e-05,Gate.cx,0.9893184261170724,0.9887488717676498,0.9999658119634651,0.9886853247968214
Gate_Dependent,1,6.250479676050968e-05,Gate.t,0.9947698031294299,0.9945968989837425,0.9999969065377114,0.994433330213548
Gate_Dependent,1,6.250479676050968e-05,Gate.h,0.9987188162205541,0.9984942058947868,0.9999829279749762,0.9984929655018735
Gate_Dependent,1,6.250479676050968e-05,Gate.id,0.9999318130898873,0.9998977217659913,0.9999829525944474,0.9998976953603782
Gate_Dependent,2,0.00024999800616931633,Gate.cx,0.9883678590922402,0.9871836217553478,0.9998631675534413,0.9872232447988519
Gate_Dependent,2,0.00024999800616931633,Gate.t,0.9944154381075647,0.9940601290340111,0.9999876238072438,0.99335123694228
Gate_Dependent,2,0.00024999800616931633,Gate.h,0.9983015385756467,0.9978295484716063,0.9999316777173556,0.9978209848405486
Gate_Dependent,2,0.00024999800616931633,Gate.id,0.9997272771566417,0.9995909498350511,0.9999318084437466,0.9995921276521444
Gate_Dependent,3,0.0005624160931698707,Gate.cx,0.9871489962288114,0.98530547863027,0.9996919353109233,0.9853174732462412
Gate_Dependent,3,0.0005624160931698707,Gate.t,0.9939370654627324,0.9933899076945258,0.9999721467160707,0.9916757551548585
Gate_Dependent,3,0.0005624160931698707,Gate.h,0.9977483229479671,0.9970062329416238,0.9998461903397656,0.9969702286764065
Gate_Dependent,3,0.0005624160931698707,Gate.id,0.9993864665825206,0.9990798725183117,0.9998465617658956,0.9990786557589976
Gate_Dependent,4,0.0009996531912048745,Gate.cx,0.9856627782348105,0.9831159805743088,0.9994519693778843,0.9830609432373126
Gate_Dependent,4,0.0009996531912048745,Gate.t,0.9933348514905936,0.9925864645489118,0.999950468119159,0.9891833175648607
Gate_Dependent,4,0.0009996531912048745,Gate.h,0.997059370521858,0.9960245200685656,0.999726396747632,0.9959980902000994
Gate_Dependent,4,0.0009996531912048745,Gate.id,0.9989095053078972,0.9983648036607566,0.9997272029915076,0.9983661841459671
