Error_Model,Strength,Process_Infidelity,Gate,F_CB,F_SCG,Gauge_Fidelity,F_CB_hat
ZXZXZ_Tilted,2,0.00025000034240807434,Gate.cx,0.989505042332503,0.9895022324679896,0.9997468531602237,0.98950110389915
ZXZXZ_Tilted,2,0.00025000034240807434,Gate.t,0.9947513052965771,0.9948747296353768,0.999872220195803,0.9949289540592817
ZXZXZ_Tilted,2,0.00025000034240807434,Gate.h,0.9987502594860349,0.9987378206893764,0.9998736415412297,0.9987385655325068
ZXZXZ_Tilted,2,0.00025000034240807434,Gate.id,0.999749999657592,0.999749999478703,0.9998742032305588,0.9997505332022403
ZXZXZ_Tilted,3,0.0005623841286529485,Gate.cx,0.9888868098326408,0.988880399885867,0.9994305095188317,0.9889157546261321
ZXZXZ_Tilted,3,0.0005623841286529485,Gate.t,0.9944405246627113,0.9946236349650195,0.9997125410522005,0.994694714191
ZXZXZ_Tilted,3,0.0005623841286529485,Gate.h,0.9984382006139754,0.9984185129511663,0.999715663329607,0.998403999140332
ZXZXZ_Tilted,3,0.0005623841286529485,Gate.id,0.999437615871347,0.9994376150135772,0.9997169907693968,0.9994319528615414
ZXZXZ_Tilted,4,0.0009995037561006948,Gate.cx,0.9880220551475378,0.9880104437637591,0.9989877826758173,0.987992325865445
ZXZXZ_Tilted,4,0.0009995037561006948,Gate.t,0.9940056676541812,0.9942470447701025,0.9994890497143931,0.9943150957045848
ZXZXZ_Tilted,4,0.0009995037561006948,Gate.h,0.9980015417874124,0.9979738692623658,0.9994944655935931,0.9979643502473069
ZXZXZ_Tilted,4,0.0009995037561006948,Gate.id,0.9990004962438993,0.9990004936812151,0.999496941733983,0.99899155003245
