n_dressed_cycles,effective_circuit_fidelity,rc_circuit_fidelity,relative_error
4,0.9731552766046989,0.9732149408692723,6.130635902495096e-05
4,0.9731702077236918,0.973564294136739,0.00040478724971790877
4,0.9525998432439414,0.9528947549502749,0.00030949032388034756
4,0.9750941886798077,0.9752216834370598,0.00013073412888320389
4,0.9638004428946798,0.9640850438623176,0.0002952031767837187
8,0.9508818877153178,0.9508656600587297,1.706619270175262e-05
8,0.9492444159472845,0.9477840411332533,0.0015408307701457083
8,0.9076622500413765,0.9043724697669333,0.003637638677005468
8,0.9400750925596492,0.9401718648259757,0.00010293040022469883
8,0.9602507846585993,0.9592288508346845,0.001065370190883596
12,0.8725392442190304,0.872312109781658,0.0002603820752061852
12,0.9448126080973832,0.9449898142963934,0.0001875218085203639
12,0.9559802360383336,0.9563868040478978,0.0004251083430296024
12,0.8716430521164027,0.8717068780060921,7.321944027267904e-05
12,0.9064895868102311,0.9043166415044576,0.0024028589169369924
16,0.8849119585074688,0.8840948751309501,0.0009242032721858413
16,0.8950368853283004,0.8956252940850016,0.0006569809501665794
16,0.936031891181661,0.9359966302839502,3.7672034887645935e-05
16,0.9089771257034556,0.9116856942204874,0.0029709455069904527
16,0.9244349110024002,0.9265695523520667,0.002303811240341158
20,0.8710703378903375,0.871795836696881,0.0008321888864396378
20,0.8562671078517972,0.8557595985897946,0.0005930512060150156
20,0.9342791893582909,0.9355848722027449,0.001395579260895782
20,0.8460928230164666,0.8420951960683587,0.004747238752545249
20,0.8520534609223984,0.8494560214235991,0.0030577680695538286
